name,features,cuisines,meals,special meals,official_description,rating,street,country,region,coords,image
Lokaal Spaanders,"Reservations, ","French, European, Fusion, Street Food, Middle Eastern, ","Dinner, ",,Onze koks werken met seizoensgebonden groenten en fruit. De ingredi,4.5,Zonneplein 4,The Netherlands,North Holland Province,"{'latitude': '52.41275', 'longitude': '4.89069'}",https://media-cdn.tripadvisor.com/media/photo-o/18/9d/3f/da/wintermenu.jpg
Mediamatic ETEN,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Accepts Credit Cards, Wheelchair Accessible, Table Service, Gift Cards Available, ","European, ","Dinner, Breakfast, Lunch, Drinks, ","Vegetarian Friendly, Vegan Options, ",Plantbased restaurant with a superb waterside view of Amsterdam. We source some of our herbs and vegetables from the Aquaponics Garden on our grounds. We've partnered with local suppliers and are seasonally depended for our dishes.,4.5,Dijksgracht 6,The Netherlands,North Holland Province,"{'latitude': '52.37637', 'longitude': '4.913192'}",https://media-cdn.tripadvisor.com/media/photo-o/10/22/30/16/polenta-with-zuccini.jpg
Asian Eethuis,,"Asian, ",,,,4.5,Admiraal de Ruijterweg 162hs,The Netherlands,North Holland Province,"{'latitude': '52.37436', 'longitude': '4.85875'}",
Yumler - CLOSED,"Takeout, Outdoor Seating, Seating, Parking Available, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, ","International, Asian, Middle Eastern, Healthy, ","Drinks, Lunch, Dinner, ",,,0.0,Jan evertsestraat 747,The Netherlands,North Holland Province,"{'latitude': '52.369766', 'longitude': '4.835214'}",https://media-cdn.tripadvisor.com/media/photo-o/0e/9f/9b/8a/our-order-counter.jpg
Pasta Pasta,"Takeout, Reservations, Seating, Serves Alcohol, Table Service, ","Italian, Pizza, European, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, ",cE5DX19WMlE,3.5,Warmoesstraat 49,The Netherlands,North Holland Province,"{'latitude': '52.375435', 'longitude': '4.898271'}",https://media-cdn.tripadvisor.com/media/photo-o/0e/9e/5c/aa/pasta-pasta.jpg
De Blauwe Parade,"Seating, Reservations, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Table Service, ","Dutch, Bar, Pub, ","Dinner, ",,bTVIX19XMko,4.5,N.Z. Voorburgwal 178,The Netherlands,North Holland Province,"{'latitude': '52.373966', 'longitude': '4.890668'}",https://media-cdn.tripadvisor.com/media/photo-o/0f/6f/f2/1b/de-blauwe-parade-authentic.jpg
Friska,,"International, ",,,,4.5,Hannie Dankbaarpassage 16,The Netherlands,North Holland Province,"{'latitude': '52.36683', 'longitude': '4.86833'}",https://media-cdn.tripadvisor.com/media/photo-o/08/9f/4f/be/photo0jpg.jpg
Beis,,"Dutch, European, Asian, ",,,,5.0,Haarlemmermeerstraat 27,The Netherlands,North Holland Province,"{'latitude': '52.35708', 'longitude': '4.850535'}",https://media-cdn.tripadvisor.com/media/photo-o/18/cb/de/f9/very-nice-and-cosy-restaurant.jpg
Carter,"Reservations, Outdoor Seating, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Free Wifi, Accepts Credit Cards, Table Service, Delivery, Takeout, Highchairs Available, Digital Payments, Non-smoking restaurants, Gift Cards Available, ","Bar, European, Contemporary, ","Lunch, Dinner, ","Vegetarian Friendly, Gluten Free Options, ","We serve a contemporary French bistro menu inspired by the vibrant dining rooms in New York and London. Our kitchen team shares their take on classics with a twist throughout the menu, highlighting favorite bistro fare interpreted through their emphasis on seasonality, sourcing and modern techniques. Our food menu is complemented by great wines and cocktails created by our passionated bartenders. Our menu contains instant classics like our famous Rotisserie Roasted Chicken, C",4.5,Valeriusstraat 85 huis,The Netherlands,North Holland Province,"{'latitude': '52.354176', 'longitude': '4.869136'}",https://media-cdn.tripadvisor.com/media/photo-o/15/a1/6f/54/terrace.jpg
Cafe van Zuylen,"Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, ","Dutch, Bar, Cafe, European, Pub, ","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks, ","Vegetarian Friendly, Vegan Options, ",,3.5,Torensteeg 4-8,The Netherlands,North Holland Province,"{'latitude': '52.37455', 'longitude': '4.88971'}",https://media-cdn.tripadvisor.com/media/photo-o/18/88/a4/cd/burger-fries.jpg
Ton Van Schaick,,,,,,4.0,Jasonstraat 1,The Netherlands,North Holland Province,"{'latitude': '52.34525', 'longitude': '4.85988'}",
De Koffiesalon,"Wheelchair Accessible, ",,"Breakfast, ",,,4.0,Ten Katestraat 42,The Netherlands,North Holland Province,"{'latitude': '52.366035', 'longitude': '4.867526'}",https://media-cdn.tripadvisor.com/media/photo-o/16/e2/e0/2e/de-koffiesalon.jpg
A Loja,,"European, Portuguese, ",,,,4.5,Hendrik Jacobszstraat 14,The Netherlands,North Holland Province,"{'latitude': '52.35164', 'longitude': '4.86013'}",
Gauchos,"Seating, Highchairs Available, Serves Alcohol, Full Bar, Digital Payments, Reservations, Wheelchair Accessible, Free Wifi, Table Service, ","Steakhouse, Barbecue, Argentinean, ","Lunch, Dinner, ","Gluten Free Options, ","Gauchos in the Regulierbreestraat, within walking distance from the Rembrandtplein, is a modern grill restaurant in the centre of Amsterdam. An informal atmosphere, 'Latin warmth' and an extensive menu with original grilled fish and meat dishes.",4.5,Reguliersbreestraat 18,The Netherlands,North Holland Province,"{'latitude': '52.36681', 'longitude': '4.894122'}",https://media-cdn.tripadvisor.com/media/photo-o/05/76/0b/64/gauchos-reguliersbreestraat.jpg
Sushi Time,"Takeout, Reservations, Wheelchair Accessible, Seating, Table Service, ","Japanese, Sushi, Asian, Seafood, ","Lunch, Dinner, ","Vegetarian Friendly, ",,3.0,Strawinskylaan 85,The Netherlands,North Holland Province,"{'latitude': '52.340214', 'longitude': '4.873326'}",https://media-cdn.tripadvisor.com/media/photo-o/09/95/6a/2e/20151122-174711-largejpg.jpg
Boezemvriend,"Seating, Highchairs Available, Wheelchair Accessible, Digital Payments, Free Wifi, Accepts Credit Cards, ","Dutch, International, European, ","Breakfast, Lunch, Brunch, ",,Boezemvriend is a caf,0.0,Overtoom 205,The Netherlands,North Holland Province,"{'latitude': '52.36126', 'longitude': '4.87019'}",https://media-cdn.tripadvisor.com/media/photo-o/17/72/3b/ae/breastfeed-or-cuddle.jpg
Einde Van de Wereld,,"Dutch, European, ",,,,4.5,Javakade 6 aboard the Quo Vadis,The Netherlands,North Holland Province,"{'latitude': '52.37762', 'longitude': '4.93197'}",https://media-cdn.tripadvisor.com/media/photo-o/03/c5/40/4c/einde-van-de-wereld.jpg
Pizza Amsterdam,"Delivery, Takeout, Reservations, Table Service, ","Italian, Pizza, ","Dinner, ",,,3.5,Bosboom Toussaintstraat 43H,The Netherlands,North Holland Province,"{'latitude': '52.36533', 'longitude': '4.87575'}",https://media-cdn.tripadvisor.com/media/photo-o/18/2d/23/03/photo0jpg.jpg
Wok to Walk,"Seating, Accepts Mastercard, Accepts Visa, Takeout, Wheelchair Accessible, Accepts Credit Cards, ","Fast Food, Asian, ","Lunch, Dinner, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ","Wok to Walk - a mix of nutritious, fresh, and high quality ingredients with friendliness and fire. We are proud to be a place where fast-food takes on a new meaning. Eet smakelijk",4.5,Kolksteeg 8,The Netherlands,North Holland Province,"{'latitude': '52.36466', 'longitude': '4.883644'}",https://media-cdn.tripadvisor.com/media/photo-o/0a/3c/b8/82/warmoesstraat-85.jpg
Duke of Windsor,,,,,,3.5,Nieuwezijds Voorburgwal 67,The Netherlands,North Holland Province,"{'latitude': '52.37545', 'longitude': '4.89284'}",
Bon Bon,,"Belgian, Dutch, European, ",,,,4.0,Taksteeg 3,The Netherlands,North Holland Province,"{'latitude': '52.369083', 'longitude': '4.89192'}",
YamYam Trattoria Pizzeria,"Takeout, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Table Service, Accepts Credit Cards, ","Italian, Pizza, Mediterranean, Sicilian, Southern-Italian, ","Dinner, Drinks, ","Vegetarian Friendly, ","YamYam Trattoria Pizzeria has a traditional woodburning oven for pizza's. They also make fresh pasta dishes, meat and fish dishes. Vegetarians have a big choice of different tastes. Homemade ice-cream as well as perfect desserts. There is a terras. Take out is possible. To reserve a table, check the website.",4.0,Frederik Hendrikstraat 90,The Netherlands,North Holland Province,"{'latitude': '52.376102', 'longitude': '4.873403'}",https://media-cdn.tripadvisor.com/media/photo-o/10/bb/d9/49/interior.jpg
Orontes West,"Reservations, Wheelchair Accessible, Serves Alcohol, Seating, Table Service, ","Turkish, Mediterranean, ","Dinner, Lunch, Drinks, ","Vegetarian Friendly, Vegan Options, ",,4.5,Hugo de Groot Plein 8,The Netherlands,North Holland Province,"{'latitude': '52.374733', 'longitude': '4.872845'}",https://media-cdn.tripadvisor.com/media/photo-o/17/72/8e/ba/ontbijt.jpg
Leuk Amsterdam,"Reservations, Seating, Table Service, Wheelchair Accessible, ",,"Brunch, Dinner, ",,,3.5,Danzigerkade,The Netherlands,North Holland Province,"{'latitude': '52.39703', 'longitude': '4.87775'}",https://media-cdn.tripadvisor.com/media/photo-o/15/95/91/eb/leuk-amsterdam.jpg
Cafe Schiller,"Reservations, Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Outdoor Seating, ","Dutch, Bar, ","Dinner, Drinks, Lunch, ","Vegetarian Friendly, ",,4.5,Rembrandtplein 24/A,The Netherlands,North Holland Province,"{'latitude': '52.365765', 'longitude': '4.896499'}",https://media-cdn.tripadvisor.com/media/photo-o/0c/3b/24/51/cafe-schiller.jpg
New York Pizza,"Delivery, Takeout, Seating, Wheelchair Accessible, Accepts Credit Cards, ","Italian, Pizza, Fast Food, ","Lunch, Dinner, Late Night, ",,,4.0,Spui 2,The Netherlands,North Holland Province,"{'latitude': '52.3691', 'longitude': '4.89166'}",https://media-cdn.tripadvisor.com/media/photo-o/15/40/8f/8c/img-20181104-121036-largejpg.jpg
van Kerkwijk,"Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Cash Only, Free Wifi, Accepts American Express, Accepts Credit Cards, Table Service, ","Dutch, European, ","Lunch, Dinner, Drinks, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ","Van Kerkwijk, situated at the Nes 41 just behind Dam square, is a classic Amsterdam cafe and restaurant where you can eat and drink from early in the morning till late in the evening. Van Kerkwijk sisters have chosen a personal approach. That's why a menu doesn't exist and your options are presented at the table by your waiter. Van Kerkwijk stands for quality food and drinks in an urban atmosphere. Characteristic, easy going, value for money. You feel at home between the regular customers who keep returning for the varied menu and the relax atmosphere.",4.5,Nes 41,The Netherlands,North Holland Province,"{'latitude': '52.37155', 'longitude': '4.893661'}",https://media-cdn.tripadvisor.com/media/photo-o/1a/41/79/38/photo0jpg.jpg
SoyTasty,"Reservations, ","Japanese, Sushi, Asian, Fast Food, ","Dinner, ",,,4.0,Bilderdijkstraat 202 H,The Netherlands,North Holland Province,"{'latitude': '52.36627', 'longitude': '4.87255'}",https://media-cdn.tripadvisor.com/media/photo-o/12/95/4a/1d/the-sushi-box-if-you.jpg
Rib's factory,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service, ","American, Steakhouse, Barbecue, European, ","Lunch, Dinner, ",,,4.0,Amstelstraat 16 /20,The Netherlands,North Holland Province,"{'latitude': '52.366215', 'longitude': '4.899193'}",https://media-cdn.tripadvisor.com/media/photo-o/1a/82/4e/42/rib-s-factory.jpg
CavaTaria - Holy Spanish food,"Reservations, Outdoor Seating, Table Service, Takeout, Private Dining, Seating, Street Parking, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, ","European, Spanish, ","Dinner, Drinks, ","Vegetarian Friendly, ",,4.0,Cornelis Krusemanstraat 15 tussen het Haarlemmermeerstation en het Valeriusplein in Zuid,The Netherlands,North Holland Province,"{'latitude': '52.351242', 'longitude': '4.863144'}",https://media-cdn.tripadvisor.com/media/photo-o/16/b4/12/de/inside.jpg
Foodbar 63 graden,"Reservations, Seating, Serves Alcohol, Outdoor Seating, Street Parking, Accepts Credit Cards, Table Service, ","Bar, European, ","Dinner, Lunch, Drinks, ","Vegetarian Friendly, Vegan Options, ",,4.5,Woestduinstraat 63,The Netherlands,North Holland Province,"{'latitude': '52.352837', 'longitude': '4.848092'}",https://media-cdn.tripadvisor.com/media/photo-o/17/55/73/db/photo0jpg.jpg
Lunchcafe Nielsen,"Seating, Serves Alcohol, Table Service, ","Cafe, Dutch, European, ","Breakfast, Lunch, Brunch, ","Vegetarian Friendly, Vegan Options, ",,4.0,Berenstraat 19,The Netherlands,North Holland Province,"{'latitude': '52.370377', 'longitude': '4.883489'}",https://media-cdn.tripadvisor.com/media/photo-o/06/ed/70/4f/lunchcafe-nielsen.jpg
Stefs Bakery,"Takeout, Seating, Digital Payments, ","European, Cafe, ","Breakfast, Lunch, Brunch, ","Vegetarian Friendly, Vegan Options, ","Freshly baked bread, pastry and sandwiches. To eat right away, take away or order in, at home or at the office.",4.5,Nieuwe Spiegelstraat 62B,The Netherlands,North Holland Province,"{'latitude': '52.36325', 'longitude': '4.888518'}",https://media-cdn.tripadvisor.com/media/photo-o/17/4f/e7/a7/img-20190422-091504-largejpg.jpg
